Year,Loss_trended_Mn_euros
1973,250
1974,500
1975,150
1976,350
1977,200
1978,200
1979,150
1980,200
1981,400
1982,300
1983,400
1984,3300
1985,400
1986,550
1987,600
1988,300
1989,300
1990,1150
1991,200
1992,1250
1993,1150
1994,1350
1995,1000
1996,900
1997,400
1998,600
1999,850
2000,950
2001,650
2002,1600
2003,1100
2004,650
2005,600
2006,850
2007,1000
2008,1900
2009,800
2010,600
2011,1350
2012,800
2013,2750
2014,550
2015,1000
2016,900
2017,1250
2018,700
2019,1200
2020,450
2021,1500
2022,1000
2023,1900
